transcript	l_tr	l_utr5	l_cds	l_utr3
ENST00000360458	1824	292	867	665
ENST00000366957	1745	96	1302	347
ENST00000369923	1882	11	1611	260
ENST00000369429	4042	548	1809	1685
ENST00000369747	1925	123	1170	632
ENST00000373425	3443	370	1482	1591
ENST00000366559	5017	67	1461	3489
ENST00000360240	5142	519	3459	1164
ENST00000374135	4665	187	933	3545
ENST00000368376	1636	110	1401	125
ENST00000369146	4378	453	2229	1696
ENST00000374583	2692	307	1932	453
ENST00000368984	2091	100	1443	548
ENST00000373644	9612	528	6411	2673
ENST00000374943	1656	77	810	769
ENST00000372624	1164	127	480	557
ENST00000373517	2553	359	1383	811
ENST00000374126	3018	99	2865	54
ENST00000368662	2225	48	1428	749
ENST00000367166	2799	56	1041	1702
ENST00000369915	2518	65	1791	662
ENST00000367176	3211	388	2142	681
ENST00000369303	6621	218	2997	3406
ENST00000370685	4481	91	1197	3193
ENST00000367001	5893	549	1524	3820
ENST00000367025	2234	416	1656	162
ENST00000369500	6376	503	1089	4784
ENST00000373202	5778	222	1707	3849
ENST00000359450	5337	4658	348	331
ENST00000371148	397	59	204	134
ENST00000370873	962	91	747	124
ENST00000374189	5796	181	1284	4331
ENST00000360835	9795	111	2967	6717
ENST00000372003	1619	464	726	429
ENST00000366641	4335	399	1281	2655
ENST00000367506	4361	241	2202	1918
ENST00000359596	15400	139	15117	144
ENST00000372285	1682	30	834	818
ENST00000374866	6829	157	4500	2172
ENST00000367568	5504	192	864	4448
ENST00000368786	1216	133	798	285
ENST00000374358	2266	136	474	1656
ENST00000369797	6477	116	5616	745
ENST00000367889	1158	67	459	632
ENST00000368594	3000	310	1239	1451
ENST00000358602	10797	130	7812	2855
ENST00000358293	5152	415	1152	3585
ENST00000368149	4414	41	1992	2381
ENST00000366963	1922	121	1665	136
ENST00000361906	3587	185	1224	2178
ENST00000360578	5979	79	660	5240
ENST00000361887	3197	422	1347	1428
ENST00000373452	6528	64	1503	4961
ENST00000370809	1299	321	978	0
ENST00000373414	2431	85	1605	741
ENST00000369304	5130	36	3504	1590
ENST00000367387	7865	452	1194	6219
ENST00000374619	3319	994	1134	1191
ENST00000358935	3922	328	837	2757
ENST00000371929	4934	444	4284	206
ENST00000361711	2230	472	1434	324
ENST00000370359	784	105	450	229
ENST00000368983	2612	4	1269	1339
ENST00000358368	2647	18	2568	61
ENST00000366479	1134	96	939	99
ENST00000371100	4027	550	3114	363
ENST00000373365	2016	91	555	1370
ENST00000373012	2965	50	1356	1559
ENST00000361641	1967	80	528	1359
ENST00000370493	697	84	219	394
ENST00000373830	1799	26	864	909
ENST00000375043	1456	373	483	600
ENST00000367360	1150	111	1005	34
ENST00000373713	1097	62	402	633
ENST00000369489	1086	54	753	279
ENST00000372090	1887	83	1533	271
ENST00000373736	2922	340	624	1958
ENST00000371724	2301	317	1371	613
ENST00000375094	1117	107	543	467
ENST00000373295	3704	44	1563	2097
ENST00000373145	1972	120	1788	64
ENST00000359947	7720	333	5724	1663
ENST00000360454	488	4	462	22
ENST00000367573	16420	228	6942	9250
ENST00000361790	2210	159	1950	101
ENST00000372519	742	32	684	26
ENST00000360085	1053	541	294	218
ENST00000370005	1400	250	813	337
ENST00000370597	2683	149	1986	548
ENST00000367467	7460	230	3744	3486
ENST00000372101	1473	152	429	892
ENST00000360203	4615	325	3903	387
ENST00000367412	2660	37	1986	637
ENST00000359293	974	153	477	344
ENST00000360467	6446	289	5139	1018
ENST00000369880	2450	123	1128	1199
ENST00000374900	1980	120	1599	261
ENST00000374811	2470	72	2205	193
ENST00000366711	7828	13	1071	6744
ENST00000360039	2405	260	1461	684
ENST00000361479	4239	90	2583	1566
ENST00000368170	2442	142	1002	1298
ENST00000370747	1682	85	1335	262
ENST00000374599	4943	217	3312	1414
ENST00000368806	3606	65	2715	826
ENST00000373647	4986	123	3210	1653
ENST00000366977	13115	14	846	12255
ENST00000373514	1642	201	855	586
ENST00000358065	2443	67	2055	321
ENST00000370296	4140	550	1191	2399
ENST00000369124	2114	342	1230	542
ENST00000361675	5011	245	2382	2384
ENST00000370950	3784	82	1455	2247
ENST00000373078	3398	219	984	2195
ENST00000367580	7724	25	1026	6673
ENST00000361883	1183	53	525	605
ENST00000369996	1140	116	903	121
ENST00000369448	5654	133	1176	4345
ENST00000361131	2219	149	498	1572
ENST00000373161	1045	332	513	200
ENST00000360468	6268	18	3453	2797
ENST00000370270	2166	0	2166	0
ENST00000367940	2685	210	2256	219
ENST00000358671	2115	81	933	1101
ENST00000374193	4871	240	1104	3527
ENST00000370500	1599	68	951	580
ENST00000360774	8252	65	6069	2118
ENST00000358746	5677	269	4695	713
ENST00000370598	6090	906	4569	615
ENST00000367468	4510	133	1815	2562
ENST00000369215	3129	202	2124	803
ENST00000359470	5501	259	1806	3436
ENST00000367478	9636	225	7092	2319
ENST00000370853	12302	891	1065	10346
ENST00000372434	1025	32	909	84
ENST00000372771	6232	13	5745	474
ENST00000371634	881	78	609	194
ENST00000371129	2926	47	1383	1496
ENST00000368494	4796	202	882	3712
ENST00000371811	2455	139	1473	843
ENST00000374144	5258	311	4308	639
ENST00000368547	1277	21	873	383
ENST00000371998	7961	231	4275	3455
ENST00000373031	1205	83	954	168
ENST00000359286	3455	89	903	2463
ENST00000361033	3892	33	588	3271
ENST00000368744	1222	56	351	815
ENST00000369535	4326	131	570	3625
ENST00000358470	2769	258	2247	264
ENST00000375026	1141	245	678	218
ENST00000369183	13898	264	702	12932
ENST00000371247	7348	183	3879	3286
ENST00000371197	2179	148	867	1164
ENST00000374695	14341	93	13176	1072
ENST00000366759	2362	549	1260	553
ENST00000369949	731	180	474	77
ENST00000369443	8819	241	1494	7084
ENST00000368685	1003	41	411	551
ENST00000358377	2474	88	1488	898
ENST00000374859	1017	38	660	319
ENST00000372733	2613	40	597	1976
ENST00000371528	4445	124	2280	2041
ENST00000361824	1904	125	1185	594
ENST00000359135	3347	512	915	1920
ENST00000367577	4201	203	984	3014
ENST00000369700	2444	181	1242	1021
ENST00000372172	3597	67	2586	944
ENST00000368081	3809	438	3090	281
ENST00000358524	1666	55	342	1269
ENST00000367463	4496	401	1221	2874
ENST00000369798	2966	67	2574	325
ENST00000374423	10285	386	7065	2834
ENST00000368223	5568	143	4866	559
ENST00000369356	8307	291	7089	927
ENST00000369878	15857	187	2628	13042
ENST00000370287	875	328	237	310
ENST00000361209	4622	132	3867	623
ENST00000359943	2455	188	684	1583
ENST00000373585	2501	70	2214	217
ENST00000360388	5109	463	1227	3419
ENST00000374450	1069	52	738	279
ENST00000372699	2019	175	1137	707
ENST00000367630	6991	25	924	6042
ENST00000368124	2546	157	1299	1090
ENST00000367979	1074	0	1074	0
ENST00000368970	1680	50	1434	196
ENST00000369868	1085	26	756	303
ENST00000358869	4060	186	1692	2182
ENST00000373116	953	109	774	70
ENST00000361264	3592	267	1362	1963
ENST00000371226	1861	40	1575	246
ENST00000358015	4114	351	1230	2533
ENST00000367714	4410	401	3375	634
ENST00000370361	693	123	471	99
ENST00000367245	3030	8	708	2314
ENST00000373886	5741	272	2925	2544
ENST00000371083	2657	368	1743	546
ENST00000374339	3041	197	1263	1581
ENST00000369505	1707	20	1116	571
ENST00000373509	2703	424	942	1337
ENST00000368029	1161	68	978	115
ENST00000373829	1280	57	1044	179
ENST00000366684	1491	103	1134	254
ENST00000374541	6704	106	2742	3856
ENST00000373279	1073	170	366	537
ENST00000374837	961	136	378	447
ENST00000369836	1394	291	657	446
ENST00000373327	4199	145	2076	1978
ENST00000366962	4690	196	1635	2859
ENST00000373204	13712	213	2574	10925
ENST00000366628	6324	100	573	5651
ENST00000367698	1552	68	1395	89
ENST00000373103	3454	548	2592	314
ENST00000370742	3539	76	2073	1390
ENST00000375128	1400	48	822	530
ENST00000358491	4785	170	2025	2590
ENST00000374385	2267	10	900	1357
ENST00000358834	1500	37	1404	59
ENST00000372622	1264	51	990	223
ENST00000366534	3436	157	2856	423
ENST00000369982	1452	320	786	346
ENST00000372766	696	57	549	90
ENST00000359611	487	36	393	58
ENST00000358741	3975	324	2547	1104
ENST00000367739	2074	58	1470	546
ENST00000366615	1741	11	468	1262
ENST00000367425	2934	47	993	1894
ENST00000370654	1948	16	1050	882
ENST00000371833	1693	60	1266	367
ENST00000361125	5737	320	2274	3143
ENST00000362010	4191	297	2502	1392
ENST00000358666	513	184	222	107
ENST00000367151	869	46	546	277
ENST00000368836	3599	54	876	2669
ENST00000370282	5789	171	690	4928
ENST00000360202	2980	209	2127	644
ENST00000360693	3082	139	1287	1656
ENST00000358410	4267	109	3183	975
ENST00000373036	7937	113	2262	5562
ENST00000374049	4578	437	1032	3109
ENST00000371088	2178	111	1890	177
ENST00000360785	1677	1050	585	42
ENST00000370141	3130	6	1446	1678
ENST00000368521	1678	183	762	733
ENST00000360151	1084	0	1053	31
ENST00000358372	3656	1757	1191	708
ENST00000372479	1662	31	1242	389
ENST00000368801	9629	76	8553	1000
ENST00000372037	6417	568	1599	4250
ENST00000371930	3858	237	576	3045
ENST00000368910	1158	106	555	497
ENST00000361113	2803	145	1386	1272
ENST00000373025	1371	63	1167	141
ENST00000370316	1353	13	627	713
ENST00000373001	2681	126	1200	1355
ENST00000375123	3492	689	1122	1681
ENST00000359015	5157	320	4125	712
ENST00000372469	1305	221	762	322
ENST00000361972	7922	91	2685	5146
ENST00000374656	1741	203	1221	317
ENST00000370481	3037	205	1788	1044
ENST00000371242	2362	143	1107	1112
ENST00000373706	1642	153	1278	211
ENST00000374024	2137	121	993	1023
ENST00000371475	3649	232	1593	1824
ENST00000360057	2439	103	732	1604
ENST00000370035	5584	329	1083	4172
ENST00000373768	804	102	519	183
ENST00000361059	3970	427	2544	999
ENST00000361738	1961	364	1410	187
ENST00000373457	5695	1101	1404	3190
ENST00000372759	2975	36	1428	1511
ENST00000372343	3883	651	2892	340
ENST00000361627	5876	708	3072	2096
ENST00000371522	1556	67	879	610
ENST00000369872	3703	298	819	2586
ENST00000360009	3245	77	1005	2163
ENST00000361891	1852	71	1173	608
ENST00000374242	4114	187	315	3612
ENST00000372980	9502	483	2091	6928
ENST00000358582	3140	742	984	1414
ENST00000369093	5072	30	1179	3863
ENST00000369155	2194	12	381	1801
ENST00000358607	767	4	606	157
ENST00000366913	2146	210	1008	928
ENST00000372071	2401	227	1470	704
ENST00000369405	2170	424	1242	504
ENST00000373409	2431	85	1605	741
ENST00000367057	4139	91	3279	769
ENST00000373731	5384	158	1260	3966
ENST00000370631	4189	57	1440	2692
ENST00000367233	3700	24	1143	2533
ENST00000367261	3311	191	1707	1413
ENST00000370345	4634	125	3540	969
ENST00000374221	1792	214	1563	15
ENST00000360238	2193	719	1161	313
ENST00000359318	4055	67	1224	2764
ENST00000366738	705	129	495	81
ENST00000372967	544	83	321	140
ENST00000373062	2350	115	2196	39
ENST00000366882	8195	87	2370	5738
ENST00000372977	6678	18	933	5727
ENST00000372348	4754	1304	3450	0
ENST00000372569	991	34	615	342
ENST00000370673	1567	192	351	1024
ENST00000372257	1733	231	1014	488
ENST00000368093	1139	100	870	169
ENST00000367821	2985	214	1347	1424
ENST00000373256	6682	60	1392	5230
ENST00000359775	7334	832	1467	5035
ENST00000367462	3128	467	2301	360
ENST00000367501	3001	94	2703	204
ENST00000368222	974	137	417	420
ENST00000359591	6892	564	2142	4186
ENST00000360697	6604	15	2226	4363
ENST00000372264	2065	275	816	974
ENST00000368817	1161	147	744	270
ENST00000360310	5729	281	4671	777
ENST00000371992	2934	651	2247	36
ENST00000369068	8186	568	4386	3232
ENST00000374434	5760	123	4314	1323
ENST00000367612	7905	388	1413	6104
ENST00000359213	2385	543	1035	807
ENST00000361669	4268	1104	2640	524
ENST00000359865	6093	142	4761	1190
ENST00000373970	1805	154	801	850
ENST00000366565	2494	382	1464	648
ENST00000370425	4899	67	4308	524
ENST00000369552	1854	30	1014	810
ENST00000361242	3770	183	2520	1067
ENST00000368717	506	88	279	139
ENST00000373448	3958	239	3270	449
ENST00000367282	6529	47	1446	5036
ENST00000370151	819	16	612	191
ENST00000360141	1638	70	900	668
ENST00000372484	2939	1072	1497	370
ENST00000372055	1286	0	1239	47
ENST00000359114	2830	50	642	2138
ENST00000371628	3108	163	2280	665
ENST00000373960	2243	86	1413	744
ENST00000368881	1333	74	1143	116
ENST00000371113	5173	181	2706	2286
ENST00000359236	5009	340	1623	3046
ENST00000367721	1805	99	846	860
ENST00000371917	9031	179	5358	3494
ENST00000370202	1180	21	804	355
ENST00000370693	6651	372	636	5643
ENST00000361441	2644	106	573	1965
ENST00000366782	2465	599	1347	519
ENST00000369689	664	151	387	126
ENST00000369902	5016	181	1455	3380
ENST00000374882	1124	51	831	242
ENST00000368762	270	0	270	0
ENST00000367048	1520	43	1194	283
ENST00000360612	2102	176	981	945
ENST00000371076	1136	244	681	211
ENST00000361833	7138	36	3885	3217
ENST00000371125	1263	115	897	251
ENST00000369626	3753	206	1503	2044
ENST00000369762	2054	16	1413	625
ENST00000366669	2932	126	2217	589
ENST00000360742	2242	496	1527	219
ENST00000373831	1577	61	1359	157
ENST00000361640	1215	61	996	158
ENST00000374321	5724	41	1266	4417
ENST00000369063	2893	477	1191	1225
ENST00000370053	2248	79	543	1626
ENST00000361565	11416	53	3126	8237
ENST00000360338	3850	322	1689	1839
ENST00000358201	2307	75	1710	522
ENST00000361575	390	54	156	180
ENST00000369937	1100	59	864	177
ENST00000361871	1277	43	351	883
ENST00000372198	1736	38	576	1122
ENST00000373284	1500	24	966	510
ENST00000368322	855	30	711	114
ENST00000370418	1855	244	1377	234
ENST00000358571	553	85	414	54
ENST00000361221	4625	296	3840	489
ENST00000368078	1878	177	1191	510
ENST00000359079	1887	389	1098	400
ENST00000374810	4127	335	663	3129
ENST00000367975	1308	25	510	773
ENST00000372309	3515	154	531	2830
ENST00000368068	5247	193	4107	947
ENST00000367255	27708	565	26394	749
ENST00000368171	3607	322	1008	2277
ENST00000372546	2169	21	717	1431
ENST00000362002	1267	169	957	141
ENST00000361837	1633	36	1302	295
ENST00000374118	2001	238	1542	221
ENST00000371172	3252	106	426	2720
ENST00000370310	2536	33	1287	1216
ENST00000360839	8195	135	7629	431
ENST00000375156	1342	268	1050	24
ENST00000368648	4829	527	1656	2646
ENST00000359649	1892	23	861	1008
ENST00000370536	2085	9	1341	735
ENST00000371419	1230	14	405	811
ENST00000371321	4131	25	1473	2633
ENST00000361070	4948	94	2325	2529
ENST00000372876	1606	30	1041	535
ENST00000372358	2012	12	882	1118
ENST00000371117	16271	264	12225	3782
ENST00000373304	2700	421	1014	1265
ENST00000358433	1521	276	945	300
ENST00000367941	15845	168	786	14891
ENST00000368145	1844	55	948	841
ENST00000370501	4133	372	1257	2504
ENST00000369694	4449	314	2724	1411
ENST00000369452	3884	288	1749	1847
ENST00000370355	5245	272	1080	3893
ENST00000368485	5764	287	1407	4070
ENST00000360345	882	27	642	213
ENST00000373548	2118	87	1449	582
ENST00000372808	1076	14	888	174
ENST00000369102	1251	770	396	85
ENST00000370238	4883	267	825	3791
ENST00000372890	5426	39	996	4391
ENST00000371733	5163	35	2691	2437
ENST00000368713	742	83	306	353
ENST00000371901	2256	149	1530	577
ENST00000373812	2744	181	1740	823
ENST00000368830	1224	17	804	403
ENST00000368012	3458	262	1533	1663
ENST00000370518	408	60	294	54
ENST00000369713	813	37	726	50
ENST00000366541	2581	133	2142	306
ENST00000369485	4825	209	1794	2822
ENST00000373983	3688	130	1962	1596
ENST00000373489	2840	81	1305	1454
ENST00000360814	1927	456	1050	421
ENST00000360631	8394	288	2223	5883
ENST00000370995	3482	86	1227	2169
ENST00000367922	10160	438	2568	7154
ENST00000373426	2371	37	1593	741
ENST00000371891	2535	45	1560	930
ENST00000371007	2153	110	1203	840
ENST00000374737	1807	82	1200	525
ENST00000358056	4085	53	429	3603
ENST00000362061	6028	87	5622	319
ENST00000369295	3039	267	1434	1338
ENST00000370629	1852	91	786	975
ENST00000369701	5575	38	3669	1868
ENST00000367089	730	35	342	353
ENST00000361802	3034	145	2037	852
ENST00000373880	3521	211	1131	2179
ENST00000367165	1209	380	660	169
ENST00000371627	6242	265	3501	2476
ENST00000374519	2039	580	1098	361
ENST00000374076	1596	35	627	934
ENST00000372523	2769	95	1458	1216
ENST00000361475	4970	72	2064	2834
ENST00000369916	1491	43	1410	38
ENST00000361314	1229	39	564	626
ENST00000358649	4326	64	3993	269
ENST00000371738	3096	30	537	2529
ENST00000371253	5432	185	2733	2514
ENST00000361243	9468	81	8454	933
ENST00000368908	2462	644	684	1134
ENST00000370396	3412	52	1812	1548
ENST00000370758	4337	195	1080	3062
ENST00000361193	2888	283	1821	784
ENST00000361055	2111	12	1392	707
ENST00000370563	3211	42	2760	409
ENST00000368990	14010	131	1215	12664
ENST00000366929	5053	467	1329	3257
ENST00000369768	1352	340	1002	10
ENST00000361484	2344	69	834	1441
ENST00000371037	10737	206	2487	8044
ENST00000372930	2039	124	504	1411
ENST00000361428	8210	282	6840	1088
ENST00000370360	2006	93	1785	128
ENST00000367128	2364	814	450	1100
ENST00000359120	3004	223	2190	591
ENST00000370370	659	51	351	257
ENST00000358704	3851	149	1596	2106
ENST00000367021	4478	271	1404	2803
ENST00000372192	4410	321	3612	477
ENST00000369800	6427	144	1668	4615
ENST00000370467	1011	66	768	177
ENST00000374980	2556	133	1002	1421
ENST00000369159	549	38	393	118
ENST00000359846	2475	78	1833	564
ENST00000372833	850	28	357	465
ENST00000370454	7170	207	2412	4551
ENST00000366695	895	56	393	446
ENST00000371790	4655	339	1551	2765
ENST00000374343	3940	202	1995	1743
ENST00000370203	6805	274	792	5739
ENST00000372181	2058	470	690	898
ENST00000368072	3653	9	900	2744
ENST00000374759	4491	386	3360	745
ENST00000360184	19940	119	13941	5880
ENST00000372441	2121	901	951	269
ENST00000374675	2153	117	1410	626
ENST00000372088	7653	259	3144	4250
ENST00000367332	1544	93	561	890
ENST00000369903	1710	140	1002	568
ENST00000370179	827	155	345	327
ENST00000373044	1848	28	840	980
ENST00000360128	3561	25	903	2633
ENST00000367618	3391	136	3039	216
ENST00000359610	975	0	975	0
ENST00000371347	2926	218	972	1736
ENST00000360586	6019	88	3390	2541
ENST00000361357	4818	318	1974	2526
ENST00000367123	7091	692	1380	5019
ENST00000368474	6610	180	3681	2749
ENST00000374274	2286	28	489	1769
ENST00000371711	4722	188	1167	3367
ENST00000360864	5249	209	597	4443
ENST00000367400	4958	161	4221	576
ENST00000360359	6350	148	3405	2797
ENST00000369558	8157	232	3633	4292
ENST00000369763	3313	234	2310	769
ENST00000374954	653	77	399	177
ENST00000367498	4113	537	1929	1647
ENST00000371906	2862	168	1092	1602
ENST00000369893	6770	71	969	5730
ENST00000362011	1432	97	594	741
ENST00000361807	2024	163	1326	535
ENST00000367288	3927	208	1803	1916
ENST00000372861	2514	46	993	1475
ENST00000374264	2754	32	2274	448
ENST00000372422	1507	119	1053	335
ENST00000369384	1902	50	843	1009
ENST00000372565	1530	25	1098	407
ENST00000371968	1559	124	663	772
ENST00000360150	5033	95	1134	3804
ENST00000372838	2308	21	1788	499
ENST00000367874	2096	31	1008	1057
ENST00000375151	4076	18	576	3482
ENST00000361309	5292	123	972	4197
ENST00000368911	6399	333	1509	4557
ENST00000366788	7757	141	426	7190
ENST00000361546	3864	42	3264	558
ENST00000368457	3180	206	1221	1753
ENST00000368898	728	274	285	169
ENST00000366832	2159	105	1062	992
ENST00000362003	5685	395	729	4561
ENST00000374888	5467	38	2412	3017
ENST00000368107	797	139	453	205
ENST00000359655	2477	58	2361	58
ENST00000366997	7773	218	1113	6442
ENST00000372782	3185	48	1917	1220
ENST00000369966	3195	344	2703	148
ENST00000358120	1942	214	939	789
ENST00000373191	19660	322	2583	16755
ENST00000367249	1624	52	918	654
ENST00000374906	1319	371	777	171
ENST00000369886	2178	175	609	1394
ENST00000374968	541	94	336	111
ENST00000367662	9683	1160	5376	3147
ENST00000359263	6860	140	6186	534
ENST00000358344	1770	231	999	540
ENST00000367928	3853	20	1542	2291
ENST00000361226	5218	154	4551	513
ENST00000371173	2142	131	1290	721
ENST00000369780	4314	409	1725	2180
ENST00000359273	1427	110	1260	57
ENST00000373910	2623	196	444	1983
ENST00000368176	3069	83	1290	1696
ENST00000373825	4348	42	1968	2338
ENST00000369111	1788	355	1014	419
ENST00000366787	5811	250	3519	2042
ENST00000368777	615	256	300	59
ENST00000373521	3168	704	603	1861
ENST00000370388	679	88	387	204
ENST00000368605	1127	113	948	66
ENST00000366523	1233	265	489	479
ENST00000367287	1650	24	516	1110
ENST00000361584	2217	486	1605	126
ENST00000368399	517	77	369	71
ENST00000373275	12921	406	5409	7106
ENST00000358432	3946	137	2931	878
ENST00000371579	1601	20	1479	102
ENST00000373836	3107	214	2139	754
ENST00000361866	4203	81	3087	1035
ENST00000362032	4181	105	1005	3071
ENST00000368013	4342	267	3306	769
ENST00000361247	4169	120	2961	1088
ENST00000370630	6571	25	1158	5388
ENST00000370473	2883	68	1779	1036
ENST00000369103	923	81	546	296
ENST00000371732	2111	154	1611	346
ENST00000367858	3245	652	1581	1012
ENST00000367429	3962	75	3696	191
ENST00000374469	12205	198	10716	1291
ENST00000367311	2749	402	384	1963
ENST00000374112	2130	12	474	1644
ENST00000373664	5686	69	3207	2410
ENST00000360726	4655	177	1065	3413
ENST00000368642	2618	86	1761	771
ENST00000367296	13091	420	5634	7037
ENST00000362007	1611	34	1221	356
ENST00000361900	3427	207	708	2512
ENST00000371980	1849	93	720	1036
ENST00000360127	1841	18	1272	551
ENST00000368557	1032	143	489	400
ENST00000374045	6583	27	756	5800
ENST00000374253	2538	39	2163	336
ENST00000371106	3311	235	2025	1051
ENST00000370383	1436	95	1089	252
ENST00000358157	4330	375	1137	2818
ENST00000373609	5012	281	1641	3090
ENST00000371168	805	63	414	328
ENST00000375119	1577	7	1326	244
ENST00000373674	1885	23	1392	470
ENST00000374037	1910	430	1008	472
ENST00000374479	2043	4	1401	638
ENST00000358273	12373	333	8520	3520
ENST00000361523	2112	133	1353	626
ENST00000368780	608	54	333	221
ENST00000369458	2605	72	849	1684
ENST00000361320	6049	548	1746	3755
ENST00000360270	3960	188	1734	2038
ENST00000366528	568	99	393	76
ENST00000368886	4532	299	1260	2973
ENST00000360311	3217	573	1899	745
ENST00000358511	9581	31	6792	2758
ENST00000373542	6286	426	3672	2188
ENST00000374708	6209	259	4953	997
ENST00000371759	921	6	600	315
ENST00000361427	1940	173	273	1494
ENST00000372522	650	87	201	362
ENST00000373818	2657	69	2349	239
ENST00000370200	3232	178	915	2139
ENST00000360280	15227	171	9525	5531
ENST00000359874	3656	73	3285	298
ENST00000375023	6745	139	6012	594
ENST00000371873	2937	156	687	2094
ENST00000371793	2782	322	1458	1002
ENST00000372830	1198	0	945	253
ENST00000370298	4075	244	1782	2049
ENST00000369787	18750	27	1908	16815
ENST00000373451	4034	163	2508	1363
ENST00000368770	1200	73	357	770
ENST00000368808	1919	0	1710	209
ENST00000361605	1645	86	732	827
ENST00000371092	1044	61	651	332
ENST00000366574	16583	338	14904	1341
ENST00000358184	2214	104	1191	919
ENST00000375050	3229	287	1293	1649
ENST00000359042	3645	209	1830	1606
ENST00000368235	1111	29	867	215
ENST00000360490	5656	158	2253	3245
ENST00000373519	2237	126	603	1508
ENST00000368358	3838	128	2325	1385
ENST00000359864	1710	207	1305	198
ENST00000373125	2417	170	1800	447
ENST00000367466	2879	156	2250	473
ENST00000370645	806	356	207	243
ENST00000371970	2806	665	336	1805
ENST00000371124	1442	197	1131	114
ENST00000371250	3273	547	936	1790
ENST00000369550	2469	102	1545	822
ENST00000361897	5016	487	1521	3008
ENST00000372648	3855	101	1203	2551
ENST00000371996	2470	23	1464	983
ENST00000370784	1368	406	588	374
ENST00000358625	3157	177	1005	1975
ENST00000373113	983	34	693	256
ENST00000372718	2905	394	1290	1221
ENST00000373003	839	308	447	84
ENST00000371589	2707	15	2100	592
ENST00000360827	764	149	477	138
ENST00000361574	1803	62	807	934
ENST00000366621	2061	66	1011	984
ENST00000374030	946	94	525	327
ENST00000370602	6843	461	504	5878
ENST00000360507	2019	97	1233	689
ENST00000361346	5225	194	1869	3162
ENST00000373615	2396	581	1221	594
ENST00000373534	1026	163	807	56
ENST00000367267	7614	193	1260	6161
ENST00000370989	892	30	669	193
ENST00000360403	1900	112	1359	429
ENST00000367559	4238	254	2226	1758
ENST00000374379	4253	107	762	3384
ENST00000359332	2674	75	1221	1378
ENST00000375105	2651	38	438	2175
ENST00000371806	7588	41	981	6566
ENST00000375121	1255	182	684	389
ENST00000371652	7703	86	813	6804
ENST00000358864	4999	49	2721	2229
ENST00000369358	5534	188	5196	150
ENST00000374160	1617	77	786	754
ENST00000371614	1708	49	1065	594
ENST00000367974	774	8	534	232
ENST00000359128	6413	423	3198	2792
ENST00000369235	1392	78	1302	12
ENST00000369528	5506	78	636	4792
ENST00000360957	3131	92	2487	552
ENST00000368787	625	69	279	277
ENST00000358794	2743	553	1773	417
ENST00000366777	2866	115	1944	807
ENST00000367964	2143	122	702	1319
ENST00000368186	2633	173	2229	231
ENST00000371443	582	108	414	60
ENST00000361959	2978	260	1734	984
ENST00000372643	493	75	240	178
ENST00000367682	4343	185	2715	1443
ENST00000366932	7765	24	849	6892
ENST00000361204	5237	166	3426	1645
ENST00000359303	512	34	411	67
ENST00000366898	4178	98	1398	2682
ENST00000361384	4450	900	3123	427
ENST00000367393	600	20	438	142
ENST00000374987	3239	60	1557	1622
ENST00000368599	9787	58	930	8799
ENST00000361328	4316	153	3132	1031
ENST00000370460	13748	481	3936	9331
ENST00000367590	8484	180	2091	6213
ENST00000372945	2579	162	414	2003
ENST00000369248	5774	299	2298	3177
ENST00000361763	1361	106	624	631
ENST00000374798	2149	48	1047	1054
ENST00000369929	1261	60	1095	106
ENST00000367576	1853	140	1428	285
ENST00000374700	4928	95	4017	816
ENST00000372073	5567	336	894	4337
ENST00000373032	1564	121	588	855
ENST00000370367	1037	72	654	311
ENST00000368010	598	11	465	122
ENST00000367019	2997	91	1725	1181
ENST00000366553	7711	795	1971	4945
ENST00000371030	9827	423	5034	4370
ENST00000366903	2237	415	1467	355
ENST00000372133	1163	12	591	560
ENST00000359429	3180	24	687	2469
ENST00000361017	870	20	792	58
ENST00000374228	2465	195	1428	842
ENST00000359747	4526	29	3180	1317
ENST00000362097	528	83	351	94
ENST00000358544	14086	103	12069	1914
ENST00000374284	2523	125	1179	1219
ENST00000373855	7719	317	6978	424
ENST00000361908	6397	192	2994	3211
ENST00000372585	2559	99	1647	813
ENST00000360566	3673	291	1350	2032
ENST00000361256	4259	14	1131	3114
ENST00000373699	1516	31	501	984
ENST00000374183	2328	39	1209	1080
ENST00000359486	7480	207	5883	1390
ENST00000369415	4923	280	1203	3440
ENST00000367278	3649	191	2904	554
ENST00000373913	5056	480	2970	1606
ENST00000361132	2297	190	1401	706
ENST00000371877	5019	155	3867	997
ENST00000369783	1652	208	1035	409
ENST00000360273	8964	441	3732	4791
ENST00000371447	3358	189	2577	592
ENST00000369144	6659	141	4149	2369
ENST00000375099	5562	73	843	4646
ENST00000373627	1955	23	1170	762
ENST00000372514	3369	184	1428	1757
ENST00000368783	614	55	333	226
ENST00000359308	2709	655	1830	224
ENST00000368309	3582	97	1806	1679
ENST00000366773	2160	36	2037	87
ENST00000367034	970	121	543	306
ENST00000366844	13168	452	1776	10940
ENST00000358296	5691	150	1629	3912
ENST00000374685	2846	138	1614	1094
ENST00000368364	2626	145	1014	1467
ENST00000358146	2428	463	1686	279
ENST00000359858	4161	132	3429	600
ENST00000374092	3008	64	1374	1570
ENST00000369484	881	453	207	221
ENST00000372322	2675	182	2226	267
ENST00000359984	1876	315	1317	244
ENST00000368100	1818	136	1245	437
ENST00000367109	8128	168	1767	6193
